Mode,Time(s),Value
DCI,0.0900940001,5.688059E-05
DCI,0.2901870012,5.591404E-05
DCI,0.4901629984,5.857320E-05
DCI,0.6902030110,5.939176E-05
DCI,0.9020640254,5.691759E-05
DCI,1.0902849436,5.790263E-05
DCI,1.2903020382,5.875819E-05
DCI,1.4903919697,5.935476E-05
DCI,1.6903640032,5.625627E-05
DCI,1.8903889656,5.682509E-05
DCI,2.0904459953,5.771302E-05
DCI,2.2904350758,5.645975E-05
DCI,2.4904520512,5.617302E-05
DCI,2.6904969215,5.696383E-05
DCI,2.8905050755,5.823098E-05
DCI,3.0905508995,5.989584E-05
DCI,3.2906699181,5.924377E-05
DCI,3.4906139374,5.805524E-05
DCI,3.6927518845,5.742167E-05
DCI,3.8927040100,5.773615E-05
DCI,4.0927410126,5.602503E-05
DCI,4.2935719490,5.653374E-05
DCI,4.4937591553,5.855008E-05
DCI,4.6937971115,5.684359E-05
DCI,4.8963952065,5.709332E-05
DCI,5.0964808464,5.824948E-05
DCI,5.2964668274,5.789338E-05
DCI,5.4966068268,5.683897E-05
DCI,5.6966209412,5.871194E-05
DCI,5.8966021538,5.852696E-05
DCI,6.0967159271,5.757891E-05
DCI,6.2967028618,5.725056E-05
DCI,6.4966840744,5.629326E-05
DCI,6.6967968941,5.790263E-05
DCI,6.8967828751,6.161158E-05
DCI,7.0967741013,5.904029E-05
DCI,7.2969169617,5.630714E-05
DCI,7.4968738556,5.676035E-05
DCI,7.6968908310,5.724131E-05
DCI,7.8970298767,5.626089E-05
DCI,8.0969915390,5.807374E-05
DCI,8.2970256805,5.688521E-05
DCI,8.4971294403,5.778702E-05
DCI,8.6970739365,5.837897E-05
DCI,8.8970899582,5.670485E-05
DCI,9.0972061157,5.652912E-05
DCI,9.2971353531,5.912353E-05
DCI,9.4971551895,5.750029E-05
DCI,9.6972780228,5.786563E-05
DCI,9.8972167969,5.865645E-05
DCI,10.0972385406,5.848996E-05
DCI,10.2973546982,5.601116E-05
DCI,10.4973020554,5.542846E-05
DCI,10.6973409653,5.661236E-05
DCI,10.8974828720,5.784714E-05
DCI,11.0974235535,5.846221E-05
DCI,11.2974653244,5.733380E-05
DCI,11.4974975586,5.648287E-05
DCI,11.6975240707,5.687134E-05
DCI,11.8975381851,5.886918E-05
DCI,12.0975866318,5.664011E-05
DCI,12.2976036072,5.674185E-05
DCI,12.4976158142,5.869344E-05
DCI,12.6976404190,5.726906E-05
DCI,12.8976860046,5.746329E-05
DCI,13.0977306366,5.825410E-05
DCI,13.2978267670,5.756503E-05
DCI,13.4978084564,5.795350E-05
DCI,13.6978330612,5.739855E-05
DCI,13.8979234695,5.787488E-05
DCI,14.0979022980,5.904491E-05
DCI,14.2979249954,5.575218E-05
DCI,14.4980211258,5.599729E-05
DCI,14.6980009079,5.805524E-05
DCI,14.8980531693,5.598341E-05
DCI,15.0981559753,5.833735E-05
DCI,15.2981176376,5.769915E-05
DCI,15.5003156662,5.750954E-05
DCI,15.7003049850,5.908654E-05
DCI,15.9002723694,5.816624E-05
DCI,16.1004009247,5.874894E-05
DCI,16.3004035950,5.731530E-05
DCI,16.5004024506,5.681122E-05
DCI,16.7005367279,5.882293E-05
DCI,16.9004783630,5.831885E-05
DCI,17.1005115509,5.608978E-05
DCI,17.3006286621,5.701470E-05
DCI,17.5005874634,5.671410E-05
DCI,17.7006301880,5.764365E-05
DCI,17.9007167816,5.659386E-05
DCI,18.1006927490,5.653374E-05
DCI,18.3007030487,5.813849E-05
DCI,18.5007686615,5.877669E-05
DCI,18.7007961273,5.781939E-05
DCI,18.9008121490,5.941951E-05
DCI,19.1008434296,5.847146E-05
DCI,19.3008842468,5.616840E-05
DCI,19.5008945465,5.481801E-05
DCI,19.7009277344,5.776852E-05
DCI,19.9009647369,5.764365E-05
DCI,20.1010093689,5.655687E-05
DCI,20.3010368347,5.734305E-05
DCI,20.5010604858,5.733380E-05
DCI,20.7041110992,5.730606E-05
DCI,20.9040546417,5.713032E-05
DCI,21.1040649414,5.818936E-05
DCI,21.3043918610,5.890155E-05
DCI,21.5045051575,5.777314E-05
DCI,21.7044754028,5.677422E-05
DCI,21.9045639038,5.714882E-05
DCI,22.1046257019,5.864720E-05
DCI,22.3046112061,5.722744E-05
DCI,22.5047225952,5.822636E-05
DCI,22.7047328949,5.806912E-05
DCI,22.9046897888,5.953050E-05
DCI,23.1048202515,6.006233E-05
DCI,23.3047714233,5.781014E-05
DCI,23.5048351288,5.686209E-05
DCI,23.7048912048,5.914203E-05
DCI,23.9048805237,5.695458E-05
DCI,24.1049232483,5.803675E-05
DCI,24.3050060272,5.805524E-05
DCI,24.5050086975,5.688984E-05
DCI,24.7049922943,5.671873E-05
DCI,24.9050884247,5.668173E-05
DCI,25.1050796509,5.636726E-05
DCI,25.3051128387,5.611753E-05
DCI,25.5051879883,5.806449E-05
DCI,25.7051734924,5.765753E-05
DCI,25.9072608948,5.777314E-05
DCI,26.1071910858,5.735230E-05
DCI,26.3072128296,5.836047E-05
