Mode,Time(s),Value
DCI,0.0042579998,3.769051E-06
DCI,0.0233670007,3.597158E-06
DCI,0.0342950001,4.175723E-06
DCI,0.0444739982,3.745094E-06
DCI,0.0544609986,4.129605E-06
DCI,0.0644370019,3.702570E-06
DCI,0.0743279979,4.181113E-06
DCI,0.0878449976,3.807981E-06
DCI,0.1016660035,3.704965E-06
DCI,0.1122020036,4.286524E-06
DCI,0.1222959980,3.757072E-06
DCI,0.1326390058,4.290717E-06
DCI,0.1426640004,3.744495E-06
DCI,0.1526349932,4.252385E-06
DCI,0.1625269949,3.700174E-06
DCI,0.1724009961,4.238610E-06
DCI,0.1886450052,3.738505E-06
DCI,0.1992750019,3.725928E-06
DCI,0.2094050050,4.239808E-06
DCI,0.2195370048,3.725329E-06
DCI,0.2294840068,4.224835E-06
DCI,0.2397219986,3.766655E-06
DCI,0.2496670038,4.264963E-06
DCI,0.2596330047,3.782826E-06
DCI,0.2728289962,4.084087E-06
DCI,0.2868979871,3.758869E-06
DCI,0.2974010110,3.846312E-06
DCI,0.3075659871,3.767254E-06
DCI,0.3175660074,3.867874E-06
DCI,0.3276759982,3.737308E-06
DCI,0.3378889859,3.905007E-06
DCI,0.3479219973,3.764259E-06
DCI,0.3613069952,3.781628E-06
DCI,0.3717390001,4.219444E-06
DCI,0.3855530024,3.785222E-06
DCI,0.3960430026,4.009820E-06
DCI,0.4061479867,3.786420E-06
DCI,0.4162040055,4.042162E-06
DCI,0.4261560142,3.832537E-06
DCI,0.4363940060,4.066718E-06
DCI,0.4498090148,4.123616E-06
DCI,0.4602069855,3.863681E-06
DCI,0.4702270031,4.180514E-06
DCI,0.4840289950,3.443833E-06
DCI,0.4944710135,4.040365E-06
DCI,0.5046420097,3.773842E-06
DCI,0.5146390200,4.072108E-06
DCI,0.5278660059,3.769051E-06
DCI,0.5386279821,3.773842E-06
DCI,0.5488190055,4.060728E-06
DCI,0.5589029789,3.783425E-06
DCI,0.5721859932,4.003830E-06
DCI,0.5826550126,3.434849E-06
DCI,0.5931569934,4.052343E-06
DCI,0.6031569839,3.473180E-06
DCI,0.6166509986,4.212856E-06
DCI,0.6271240115,3.812772E-06
DCI,0.6375560164,3.746890E-06
DCI,0.6475740075,3.918184E-06
DCI,0.6608510017,3.516303E-06
DCI,0.6751549840,4.215252E-06
DCI,0.6857089996,3.833735E-06
DCI,0.6991000175,3.697778E-06
DCI,0.7096430063,3.830141E-06
DCI,0.7197179794,3.684602E-06
DCI,0.7297689915,3.806184E-06
DCI,0.7399799824,3.671426E-06
DCI,0.7532219887,4.157755E-06
DCI,0.7637320161,3.816366E-06
DCI,0.7741289735,4.248193E-06
DCI,0.7879130244,3.831938E-06
DCI,0.7982829809,3.748687E-06
DCI,0.8084409833,3.774441E-06
DCI,0.8183940053,3.707960E-06
DCI,0.8285700083,3.757671E-06
DCI,0.8442370296,3.767254E-06
DCI,0.8644109964,3.725928E-06
DCI,0.8847630024,3.712752E-06
DCI,0.9048380256,3.698976E-06
DCI,0.9249169827,3.685800E-06
DCI,0.9452149868,3.655254E-06
DCI,0.9595530033,3.743896E-06
DCI,0.9742379785,4.147573E-06
DCI,0.9946529865,4.102054E-06
DCI,1.0099699497,4.240407E-06
DCI,1.0207550526,3.792409E-06
DCI,1.0312050581,4.223637E-06
DCI,1.0418130159,3.794805E-06
DCI,1.0644199848,3.503726E-06
DCI,1.0766069889,3.839125E-06
DCI,1.0869499445,3.610934E-06
DCI,1.0971430540,3.866676E-06
DCI,1.1071180105,3.634292E-06
DCI,1.1176970005,3.889435E-06
DCI,1.1282449961,3.607939E-06
DCI,1.1441750526,3.530079E-06
DCI,1.1626390219,3.546250E-06
DCI,1.1734839678,4.094268E-06
DCI,1.1835800409,3.474378E-06
DCI,1.1936600208,4.065520E-06
DCI,1.2039580345,3.479769E-06
DCI,1.2144680023,4.063723E-06
DCI,1.2343980074,4.051146E-06
DCI,1.2491910458,4.152963E-06
DCI,1.2598329782,3.892430E-06
DCI,1.2702330351,4.100258E-06
DCI,1.2803080082,3.858890E-06
DCI,1.2905169725,4.059531E-06
DCI,1.3010339737,3.455213E-06
DCI,1.3169419765,4.133798E-06
DCI,1.3353639841,4.177519E-06
DCI,1.3457479477,3.733115E-06
DCI,1.3557900190,4.189498E-06
DCI,1.3658189774,3.766655E-06
DCI,1.3764530420,4.146974E-06
DCI,1.3870559931,3.713350E-06
DCI,1.4042129517,3.715147E-06
DCI,1.4213420153,3.450421E-06
DCI,1.4318699837,4.021798E-06
DCI,1.4420280457,3.476175E-06
DCI,1.4520720243,4.018803E-06
DCI,1.4624030590,3.455812E-06
DCI,1.4733049870,4.014012E-06
DCI,1.4944330454,4.233220E-06
DCI,1.5078990459,3.839724E-06
DCI,1.5186619759,3.846911E-06
DCI,1.5289080143,3.817564E-06
DCI,1.5391529799,3.848708E-06
DCI,1.5528349876,4.042761E-06
DCI,1.5635579824,3.767853E-06
DCI,1.5844320059,3.737906E-06
DCI,1.5956439972,4.297305E-06
DCI,1.6060529947,3.695982E-06
DCI,1.6161110401,3.809179E-06
DCI,1.6264350414,3.728324E-06
DCI,1.6401740313,3.619918E-06
DCI,1.6510679722,4.105648E-06
DCI,1.6729129553,4.237412E-06
DCI,1.6870280504,3.764858E-06
DCI,1.6977930069,3.854697E-06
DCI,1.7080969810,3.681008E-06
DCI,1.7181930542,3.848708E-06
DCI,1.7323700190,4.310481E-06
DCI,1.7429629564,3.734912E-06
DCI,1.7642259598,3.721735E-06
DCI,1.7750929594,4.291914E-06
DCI,1.7852040529,3.618121E-06
DCI,1.7951749563,3.847510E-06
DCI,1.8085550070,4.102653E-06
DCI,1.8193149567,3.789414E-06
DCI,1.8303170204,4.106247E-06
DCI,1.8443160057,3.660046E-06
DCI,1.8617039919,3.601351E-06
DCI,1.8722569942,4.194289E-06
DCI,1.8826160431,3.558827E-06
DCI,1.8963149786,3.917585E-06
DCI,1.9069299698,3.598955E-06
DCI,1.9173690081,3.959510E-06
DCI,1.9342629910,4.120022E-06
DCI,1.9492809772,4.109840E-06
DCI,1.9598009586,3.927767E-06
DCI,1.9698920250,4.098461E-06
DCI,1.9837670326,3.442036E-06
DCI,1.9944620132,3.990654E-06
DCI,2.0048799515,3.529480E-06
DCI,2.0246400833,3.570207E-06
DCI,2.0368630886,3.990654E-06
DCI,2.0473339558,4.054739E-06
DCI,2.0574419498,3.940943E-06
DCI,2.0711081028,4.077498E-06
DCI,2.0819220543,3.518699E-06
DCI,2.0923879147,4.053541E-06
DCI,2.1133708954,4.025392E-06
DCI,2.1240630150,3.624709E-06
