Mode,Time(s),Value
DCI,0.0054250001,3.465068E-04
DCI,0.0298410002,3.501927E-04
DCI,0.0446350016,3.459288E-04
DCI,0.0591930002,3.392138E-04
DCI,0.0738409981,3.498967E-04
DCI,0.0917920023,3.501418E-04
DCI,0.1066310033,3.436812E-04
DCI,0.1251060069,3.452582E-04
DCI,0.1400399953,3.390658E-04
DCI,0.1544400007,3.434315E-04
DCI,0.1688449979,3.509974E-04
DCI,0.1874009967,3.462664E-04
DCI,0.2021870017,3.436812E-04
DCI,0.2203149945,3.416695E-04
DCI,0.2354809940,3.438199E-04
DCI,0.2499119937,3.487498E-04
DCI,0.2680949867,3.475335E-04
DCI,0.2832210064,3.405735E-04
DCI,0.2977829874,3.419285E-04
DCI,0.3159480095,3.437876E-04
DCI,0.3310259879,3.506968E-04
DCI,0.3492319882,3.492724E-04
DCI,0.3639410138,3.445183E-04
DCI,0.3788839877,3.395422E-04
DCI,0.3932139874,3.514598E-04
DCI,0.4112290144,3.513072E-04
DCI,0.4265179932,3.529582E-04
DCI,0.4449830055,3.424326E-04
DCI,0.4595699906,3.391167E-04
DCI,0.4742369950,3.456328E-04
DCI,0.4886209965,3.502759E-04
DCI,0.5066930056,3.510621E-04
DCI,0.5290750265,3.477462E-04
DCI,0.5437849760,3.403746E-04
DCI,0.5583599806,3.422013E-04
DCI,0.5726630092,3.484353E-04
DCI,0.5873770118,3.466410E-04
DCI,0.6090369821,3.495036E-04
DCI,0.6240429878,3.437644E-04
DCI,0.6390010118,3.407446E-04
DCI,0.6533730030,3.491984E-04
DCI,0.6676599979,3.492770E-04
DCI,0.6821920276,3.430939E-04
DCI,0.7038490176,3.437321E-04
DCI,0.7188000083,3.403931E-04
DCI,0.7336019874,3.492169E-04
DCI,0.7480980158,3.464375E-04
DCI,0.7624210119,3.433020E-04
DCI,0.7808949947,3.407446E-04
DCI,0.7991120219,3.398751E-04
DCI,0.8139520288,3.469601E-04
DCI,0.8287739754,3.515523E-04
DCI,0.8430989981,3.458548E-04
DCI,0.8611299992,3.435425E-04
DCI,0.8762879968,3.457900E-04
DCI,0.8943060040,3.451750E-04
DCI,0.9092379808,3.529859E-04
DCI,0.9236279726,3.428626E-04
DCI,0.9383429885,3.379004E-04
DCI,0.9565749764,3.440234E-04
DCI,0.9711819887,3.491429E-04
DCI,0.9895679951,3.501695E-04
DCI,1.0042890310,3.444813E-04
DCI,1.0188159943,3.374010E-04
DCI,1.0374089479,3.413781E-04
DCI,1.0519930124,3.499707E-04
DCI,1.0664399862,3.437829E-04
DCI,1.0846359730,3.443564E-04
DCI,1.0994739532,3.413828E-04
DCI,1.1177599430,3.379189E-04
DCI,1.1327849627,3.509372E-04
DCI,1.1471760273,3.466826E-04
DCI,1.1614899635,3.402127E-04
DCI,1.1795810461,3.423308E-04
DCI,1.1945970058,3.471867E-04
DCI,1.2128709555,3.452998E-04
DCI,1.2275949717,3.436442E-04
DCI,1.2422800064,3.411932E-04
DCI,1.2565829754,3.388207E-04
DCI,1.2744909525,3.470710E-04
DCI,1.2931909561,3.472745E-04
DCI,1.3078689575,3.473531E-04
DCI,1.3222910166,3.444628E-04
DCI,1.3371340036,3.391444E-04
DCI,1.3513749838,3.493094E-04
DCI,1.3726290464,3.476815E-04
DCI,1.3878190517,3.451796E-04
DCI,1.4021669626,3.433806E-04
DCI,1.4165159464,3.424834E-04
DCI,1.4307880402,3.504609E-04
DCI,1.4452710152,3.451611E-04
DCI,1.4668719769,3.436904E-04
DCI,1.4817889929,3.451565E-04
DCI,1.4966239929,3.441483E-04
DCI,1.5110009909,3.504516E-04
DCI,1.5292359591,3.509881E-04
DCI,1.5713529587,3.499707E-04
DCI,1.6052880287,3.456189E-04
DCI,1.6306420565,3.496007E-04
DCI,1.6459070444,3.410544E-04
DCI,1.6643990278,3.426499E-04
DCI,1.6794470549,3.386681E-04
DCI,1.6941519976,3.433575E-04
DCI,1.7085939646,3.478434E-04
DCI,1.7267969847,3.427285E-04
DCI,1.7417030334,3.387144E-04
DCI,1.7598719597,3.409897E-04
DCI,1.7747000456,3.443656E-04
DCI,1.7897830009,3.469369E-04
DCI,1.8080400229,3.484584E-04
DCI,1.8226410151,3.402914E-04
DCI,1.8373440504,3.397549E-04
DCI,1.8554300070,3.470017E-04
DCI,1.8701659441,3.493787E-04
DCI,1.8886699677,3.462016E-04
DCI,1.9034179449,3.446940E-04
DCI,1.9178060293,3.423169E-04
DCI,1.9322489500,3.496238E-04
DCI,1.9505120516,3.501325E-04
DCI,1.9654469490,3.454339E-04
DCI,1.9835920334,3.403376E-04
DCI,1.9985729456,3.420996E-04
DCI,2.0129880905,3.460629E-04
DCI,2.0272679329,3.433852E-04
DCI,2.0455200672,3.493787E-04
DCI,2.0638539791,3.390427E-04
DCI,2.0786199570,3.392508E-04
DCI,2.0932700634,3.517974E-04
DCI,2.1076500416,3.460999E-04
DCI,2.1218590736,3.439772E-04
DCI,2.1432108879,3.443333E-04
DCI,2.1581161022,3.406104E-04
DCI,2.1725609303,3.502852E-04
DCI,2.1869359016,3.447402E-04
DCI,2.2014870644,3.394173E-04
DCI,2.2157449722,3.435378E-04
DCI,2.2376649380,3.428534E-04
DCI,2.2527630329,3.499106E-04
DCI,2.2672009468,3.447264E-04
DCI,2.2816989422,3.434037E-04
DCI,2.2963120937,3.462664E-04
DCI,2.3142390251,3.454108E-04
DCI,2.3326170444,3.478434E-04
DCI,2.3477599621,3.458224E-04
DCI,2.3621599674,3.427147E-04
DCI,2.3768520355,3.447587E-04
DCI,2.3914699554,3.511037E-04
DCI,2.4097020626,3.447819E-04
DCI,2.4280090332,3.494990E-04
DCI,2.4431850910,3.419053E-04
DCI,2.4577119350,3.415585E-04
DCI,2.4719901085,3.505904E-04
DCI,2.4904170036,3.497441E-04
DCI,2.5051488876,3.420163E-04
DCI,2.5231349468,3.429274E-04
DCI,2.5421509743,3.426222E-04
DCI,2.5568931103,3.396994E-04
DCI,2.5751380920,3.444998E-04
DCI,2.5898358822,3.495545E-04
DCI,2.6045169830,3.419377E-04
