Mode,Time(s),Value
DCI,0.0076130000,9.964910E-05
DCI,0.0182739999,1.050414E-04
DCI,0.0289220009,1.014203E-04
DCI,0.0359710008,1.047547E-04
DCI,0.0430320017,9.861781E-05
DCI,0.0496140011,1.040194E-04
DCI,0.0560539998,1.079411E-04
DCI,0.0626050010,9.792874E-05
DCI,0.0728809983,1.049027E-04
DCI,0.0799060017,1.047408E-04
DCI,0.0867350027,9.984334E-05
DCI,0.0933070034,1.050414E-04
DCI,0.0999770015,1.061559E-04
DCI,0.1064520031,9.937162E-05
DCI,0.1129290015,1.036124E-04
DCI,0.1230679974,1.004677E-04
DCI,0.1303140074,1.020909E-04
DCI,0.1373859942,1.084636E-04
DCI,0.1440770030,9.986646E-05
DCI,0.1507900059,1.021741E-04
DCI,0.1648660004,9.951961E-05
DCI,0.1719630063,1.036355E-04
DCI,0.1787919998,1.058461E-04
DCI,0.1852920055,9.826634E-05
DCI,0.1921820045,1.033997E-04
DCI,0.1987310052,1.055177E-04
DCI,0.2051700056,9.888141E-05
DCI,0.2153940052,1.067202E-04
DCI,0.2224549949,1.016099E-04
DCI,0.2293259948,1.029511E-04
DCI,0.2358559966,1.079873E-04
DCI,0.2464179993,9.779925E-05
DCI,0.2534370124,1.027337E-04
DCI,0.2600679994,1.071179E-04
DCI,0.2665539980,9.743391E-05
DCI,0.2731469870,1.027106E-04
DCI,0.2796309888,1.056565E-04
DCI,0.2860270143,9.926526E-05
DCI,0.2927489877,1.032748E-04
DCI,0.2993110120,1.079595E-04
DCI,0.3095409870,1.016747E-04
DCI,0.3164229989,1.066415E-04
DCI,0.3268409967,9.810448E-05
DCI,0.3339500129,1.022528E-04
DCI,0.3407169878,1.074000E-04
DCI,0.3476310074,9.712406E-05
DCI,0.3540970087,1.039038E-04
DCI,0.3606489897,1.055177E-04
DCI,0.3671270013,9.914039E-05
DCI,0.3735449910,1.031499E-04
DCI,0.3800629973,1.064797E-04
DCI,0.3865250051,9.994508E-05
DCI,0.3932240009,1.019429E-04
DCI,0.4034500122,1.013278E-04
DCI,0.4140579998,1.018643E-04
DCI,0.4211539924,1.032979E-04
DCI,0.4278160036,1.012631E-04
DCI,0.4342809916,1.075110E-04
DCI,0.4408839941,1.009209E-04
DCI,0.4476630092,1.005093E-04
DCI,0.4540989995,1.060681E-04
DCI,0.4605669975,1.015544E-04
DCI,0.4670630097,9.761427E-05
DCI,0.4735060036,1.021094E-04
DCI,0.4800899923,1.080058E-04
DCI,0.4865230024,9.728129E-05
DCI,0.5002819896,1.059062E-04
DCI,0.5074840188,9.931150E-05
DCI,0.5141180158,1.074138E-04
DCI,0.5207139850,1.033349E-04
DCI,0.5273090005,1.019614E-04
DCI,0.5337650180,1.056056E-04
DCI,0.5402439833,1.035199E-04
DCI,0.5470830202,1.010920E-04
DCI,0.5535609722,1.043755E-04
DCI,0.5601040125,1.049674E-04
DCI,0.5665090084,9.897391E-05
DCI,0.5730270147,1.030806E-04
DCI,0.5864530206,9.865943E-05
DCI,0.5937889814,1.053143E-04
DCI,0.6005889773,1.031314E-04
DCI,0.6071519852,1.014481E-04
DCI,0.6135789752,1.038853E-04
DCI,0.6201320291,1.049443E-04
DCI,0.6266689897,1.004954E-04
DCI,0.6332299709,1.045651E-04
DCI,0.6398010254,1.049628E-04
DCI,0.6465150118,9.885829E-05
DCI,0.6532329917,1.049443E-04
DCI,0.6598150134,1.046992E-04
DCI,0.6701189876,1.011567E-04
DCI,0.6806610227,1.050553E-04
DCI,0.6877059937,9.966760E-05
DCI,0.6945660114,1.028401E-04
DCI,0.7011500001,1.064935E-04
DCI,0.7077209949,9.801661E-05
DCI,0.7141370177,1.059340E-04
DCI,0.7206169963,1.050553E-04
DCI,0.7271209955,9.893691E-05
DCI,0.7335429788,1.041535E-04
DCI,0.7399899960,1.052125E-04
DCI,0.7572879791,1.070716E-04
DCI,0.7640290260,9.966760E-05
DCI,0.7807329893,1.053790E-04
DCI,0.7975149751,1.084405E-04
DCI,0.8040320277,9.869643E-05
DCI,0.8176900148,1.074555E-04
DCI,0.8344770074,9.939937E-05
DCI,0.8471469879,1.070901E-04
DCI,0.8572390079,1.043940E-04
DCI,0.8695650101,1.010642E-04
DCI,0.8768090010,1.080798E-04
DCI,0.8873829842,9.805823E-05
DCI,0.9073669910,1.025117E-04
DCI,0.9146500230,1.017163E-04
DCI,0.9251819849,9.816922E-05
DCI,0.9322850108,1.037835E-04
DCI,0.9390389919,1.061236E-04
DCI,0.9454960227,9.748940E-05
DCI,0.9520519972,1.020817E-04
DCI,0.9586169720,1.062068E-04
DCI,0.9655669928,9.795649E-05
DCI,0.9723870158,1.017718E-04
DCI,0.9873290062,9.735066E-05
DCI,0.9971709847,1.041350E-04
DCI,1.0041699409,1.019013E-04
DCI,1.0146420002,1.073121E-04
DCI,1.0219470263,1.032702E-04
DCI,1.0285650492,1.023823E-04
DCI,1.0350350142,1.067202E-04
DCI,1.0415910482,1.021788E-04
DCI,1.0480630398,1.013695E-04
DCI,1.0548160076,1.075156E-04
DCI,1.0616120100,1.033904E-04
DCI,1.0773839951,1.072844E-04
DCI,1.0871800184,9.818772E-05
DCI,1.0982370377,1.081260E-04
